transcript	chr	gene	strand	start	end
NM_001302545.2	chr2	AAMP	-	218264128	218270137
NM_001302545.1	chr2	AAMP	-	218264122	218270257
NM_001087.5	chr2	AAMP	-	218264128	218270137
NM_001087.3	chr2	AAMP	-	218264122	218270257
NM_001166579.1	chr17	AANAT	+	76453350	76470117
NM_001088.3	chr17	AANAT	+	76467602	76470117
NM_001088.2	chr17	AANAT	+	76467568	76470117
NM_015511.4	chr20	AAR2	+	36236416	36256941
NM_001271874.2	chr20	AAR2	+	36236477	36256933
NM_001271874.1	chr20	AAR2	+	36236464	36256933
NM_001025357.3	chr8	AARD	+	116938206	116944487
NM_001025357.2	chr8	AARD	+	116938198	116944487
NM_001605.2	chr16	AARS1	-	70252393	70289509
NM_020745.4	chr6	AARS2	-	44298730	44313347
NM_020745.3	chr6	AARS2	-	44299653	44313326
NM_001261434.2	chr17	AARSD1	-	42950525	42964454
NM_001261434.1	chr17	AARSD1	-	42950545	42964476
NM_181806.4	chr4	AASDH	-	56338289	56387491
NM_181806.3	chr4	AASDH	-	56338289	56387500
NM_001323899.2	chr4	AASDH	-	56338289	56387491
NM_001323893.2	chr4	AASDH	-	56338289	56387491
NM_001323892.2	chr4	AASDH	-	56338289	56387491
NM_001323890.2	chr4	AASDH	-	56338289	56387491
NM_001286672.1	chr4	AASDH	-	56348959	56387508
NM_001286671.1	chr4	AASDH	-	56338283	56387508
NM_001286670.2	chr4	AASDH	-	56338289	56387491
NM_001286670.1	chr4	AASDH	-	56338292	56387469
NM_001286669.1	chr4	AASDH	-	56338283	56387508
NM_001286668.2	chr4	AASDH	-	56338289	56387491
NM_001286668.1	chr4	AASDH	-	56338289	56387423
NM_015423.3	chr11	AASDHPPT	+	106077661	106098695
NM_015423.2	chr11	AASDHPPT	+	106077488	106098710
NM_005763.4	chr7	AASS	-	122073548	122144249
NM_005763.3	chr7	AASS	-	122076241	122144280
NM_012138.4	chr17	AATF	+	36948953	37056871
NM_012138.3	chr17	AATF	+	36948874	37056871
NM_004920.2	chr17	AATK	-	81117294	81131948
NM_001080395.3	chr17	AATK	-	81117294	81166221
NM_001080395.2	chr17	AATK	-	81117294	81166017
NM_020686.6	chr16	ABAT	+	8674616	8784570
NM_020686.5	chr16	ABAT	+	8674564	8784575
NM_001127448.2	chr16	ABAT	+	8720712	8784570
NM_001127448.1	chr16	ABAT	+	8720715	8781590
NM_000663.4	chr16	ABAT	+	8712968	8784575
NM_005502.4	chr9	ABCA1	-	104781005	104928155
NM_005502.3	chr9	ABCA1	-	104781001	104928237
NM_080282.3	chr17	ABCA10	-	69148006	69244815
NM_173076.3	chr2	ABCA12	-	214931541	215138626
NM_173076.2	chr2	ABCA12	-	214931541	215138428
NM_015657.3	chr2	ABCA12	-	214931541	215032086
NM_152701.5	chr7	ABCA13	+	48171457	48647497
NM_152701.4	chr7	ABCA13	+	48171459	48647495
NM_152701.3	chr7	ABCA13	+	48171459	48647495
NM_212533.3	chr9	ABCA2	-	137007233	137028922
NM_212533.2	chr9	ABCA2	-	137007233	137028922
NM_001606.5	chr9	ABCA2	-	137007233	137028237
NM_001089.3	chr16	ABCA3	-	2275880	2340728
NM_001089.2	chr16	ABCA3	-	2275880	2340735
NM_000350.3	chr1	ABCA4	-	93992833	94121148
NM_000350.2	chr1	ABCA4	-	93992836	94121132
NM_172232.4	chr17	ABCA5	-	69244310	69327133
NM_172232.3	chr17	ABCA5	-	69244310	69327101
NM_018672.4	chr17	ABCA5	-	69244434	69315633
NM_080284.3	chr17	ABCA6	-	69078701	69141895
NM_080284.2	chr17	ABCA6	-	69078701	69141874
NM_019112.4	chr19	ABCA7	+	1040106	1065572
NM_019112.3	chr19	ABCA7	+	1040102	1065569
NM_007168.4	chr17	ABCA8	-	68867288	68955392
NM_007168.3	chr17	ABCA8	-	68867291	68955351
NM_001288986.1	chr17	ABCA8	-	68867286	68955392
NM_001288985.2	chr17	ABCA8	-	68867288	68955392
NM_001288985.1	chr17	ABCA8	-	68868051	68955241
NM_080283.4	chr17	ABCA9	-	68974487	69060927
NM_080283.3	chr17	ABCA9	-	68974487	69061064
NM_001348946.2	chr7	ABCB1	-	87503016	87600884
NM_001348946.1	chr7	ABCB1	-	87503632	87601073
NM_001348945.1	chr7	ABCB1	-	87503862	87713323
NM_001348944.1	chr7	ABCB1	-	87503862	87713323
NM_000927.4	chr7	ABCB1	-	87503862	87713323
NM_012089.3	chr1	ABCB10	-	229516581	229558707
NM_012089.2	chr1	ABCB10	-	229516581	229558695
NM_003742.4	chr2	ABCB11	-	168920780	169031324
NM_003742.2	chr2	ABCB11	-	168922937	169031322
NM_018850.2	chr7	ABCB4	-	87402044	87475703
NM_018849.3	chr7	ABCB4	-	87401695	87475680
NM_018849.2	chr7	ABCB4	-	87402048	87475739
NM_000443.4	chr7	ABCB4	-	87401695	87475680
NM_000443.3	chr7	ABCB4	-	87402044	87475659
NM_178559.6	chr7	ABCB5	+	20647329	20757008
NM_178559.5	chr7	ABCB5	+	20647421	20755624
NM_001163993.3	chr7	ABCB5	+	20647329	20667566
NM_001163993.2	chr7	ABCB5	+	20647342	20667323
NM_001163942.2	chr7	ABCB5	+	20647329	20660403
NM_001163942.1	chr7	ABCB5	+	20647342	20660394
NM_001163941.2	chr7	ABCB5	+	20615666	20757008
NM_001163941.1	chr7	ABCB5	+	20615206	20757009
NM_005689.4	chr2	ABCB6	-	219209771	219218958
NM_005689.2	chr2	ABCB6	-	219209767	219218990
NM_001349828.2	chr2	ABCB6	-	219209771	219218958
NM_004299.6	chrX	ABCB7	-	75051047	75156283
NM_004299.5	chrX	ABCB7	-	75051047	75156340
NM_004299.4	chrX	ABCB7	-	75053279	75156282
NM_001271699.3	chrX	ABCB7	-	75051047	75156283
NM_001271699.1	chrX	ABCB7	-	75053171	75156340
NM_001271698.3	chrX	ABCB7	-	75051047	75156283
NM_001271698.1	chrX	ABCB7	-	75053444	75156282
NM_001271697.3	chrX	ABCB7	-	75051047	75156283
NM_001271697.1	chrX	ABCB7	-	75053281	75156279
NM_001271696.3	chrX	ABCB7	-	75051047	75156283
NM_001271696.2	chrX	ABCB7	-	75053283	75156280
NM_001271696.1	chrX	ABCB7	-	75053283	75156280
NM_007188.5	chr7	ABCB8	+	151028449	151047782
NM_007188.4	chr7	ABCB8	+	151028422	151047782
NM_001282293.1	chr7	ABCB8	+	151028421	151047782
NM_001282292.2	chr7	ABCB8	+	151028449	151047782
NM_001282292.1	chr7	ABCB8	+	151028461	151045563
NM_001282291.2	chr7	ABCB8	+	151028449	151047782
NM_001282291.1	chr7	ABCB8	+	151028449	151045562
NM_203444.4	chr12	ABCB9	-	122924523	122966463
NM_203444.3	chr12	ABCB9	-	122924524	122966460
NM_019625.4	chr12	ABCB9	-	122928991	122966463
NM_019625.3	chr12	ABCB9	-	122928991	122966496
NM_019624.3	chr12	ABCB9	-	122928991	122966509
NM_001243014.2	chr12	ABCB9	-	122920947	122966463
NM_001243014.1	chr12	ABCB9	-	122920950	122966460
NM_001243013.2	chr12	ABCB9	-	122928991	122966463
NM_001243013.1	chr12	ABCB9	-	122928993	122966500
NM_004996.4	chr16	ABCC1	+	15949615	16143053
NM_004996.3	chr16	ABCC1	+	15949576	16143062
NM_033450.2	chr6	ABCC10	+	43431750	43450425
NM_001350518.2	chr6	ABCC10	+	43427540	43450427
NM_001198934.2	chr6	ABCC10	+	43427540	43450427
NM_001198934.1	chr6	ABCC10	+	43427553	43450430
NM_145186.3	chr16	ABCC11	-	48165772	48244588
NM_145186.2	chr16	ABCC11	-	48166909	48235177
NM_033151.4	chr16	ABCC11	-	48165772	48232271
NM_033151.3	chr16	ABCC11	-	48166910	48232271
NM_032583.4	chr16	ABCC11	-	48165772	48244588
NM_032583.3	chr16	ABCC11	-	48166910	48235177
NM_001370497.1	chr16	ABCC11	-	48165772	48247539
NM_001370496.1	chr16	ABCC11	-	48165772	48244588
NM_033226.2	chr16	ABCC12	-	48082972	48146770
NM_000392.5	chr10	ABCC2	+	99782639	99852594
NM_000392.4	chr10	ABCC2	+	99782731	99852192
NM_000392.3	chr10	ABCC2	+	99782731	99852192
NM_003786.4	chr17	ABCC3	+	50634880	50692253
NM_003786.3	chr17	ABCC3	+	50634856	50692252
NM_001144070.2	chr17	ABCC3	+	50634880	50667927
NM_001144070.1	chr17	ABCC3	+	50634856	50667923
NM_005845.4	chr13	ABCC4	-	95019828	95301446
NM_005845.3	chr13	ABCC4	-	95019828	95301429
NM_001301830.2	chr13	ABCC4	-	95095770	95301451
NM_001301830.1	chr13	ABCC4	-	95095768	95301433
NM_001301829.2	chr13	ABCC4	-	95019834	95301451
NM_001105515.3	chr13	ABCC4	-	95095770	95301451
NM_001105515.1	chr13	ABCC4	-	95095768	95301433
NM_005688.4	chr3	ABCC5	-	183919933	184017884
NM_005688.3	chr3	ABCC5	-	183919933	184018015
NM_005688.2	chr3	ABCC5	-	183919933	184018015
NM_001320032.2	chr3	ABCC5	-	183919933	184017884
NM_001320032.1	chr3	ABCC5	-	183919938	184017836
NM_001023587.3	chr3	ABCC5	-	183983752	184017884
NM_001023587.1	chr3	ABCC5	-	183983752	184017889
NM_001351800.1	chr16	ABCC6	-	16149564	16223471
NM_001171.5	chr16	ABCC6	-	16149564	16223471
NM_001079528.4	chr16	ABCC6	-	16221186	16223471
NM_001351297.2	chr11	ABCC8	-	17392497	17476845
NM_001351296.2	chr11	ABCC8	-	17392497	17476845
NM_001351295.2	chr11	ABCC8	-	17392497	17476845
NM_001287174.2	chr11	ABCC8	-	17392497	17476845
NM_001287174.1	chr11	ABCC8	-	17392885	17476845
NM_000352.5	chr11	ABCC8	-	17392497	17476845
NM_000352.4	chr11	ABCC8	-	17392884	17476845
NM_020297.3	chr12	ABCC9	-	21797388	21936694
NM_005691.3	chr12	ABCC9	-	21805173	21936694
NM_000033.4	chrX	ABCD1	+	153724855	153744755
NM_000033.3	chrX	ABCD1	+	153724867	153744762
NM_005164.4	chr12	ABCD2	-	39550032	39619803
NM_005164.3	chr12	ABCD2	-	39550032	39619751
NM_002858.4	chr1	ABCD3	+	94418388	94518663
NM_002858.3	chr1	ABCD3	+	94418454	94518663
NM_001122674.1	chr1	ABCD3	+	94418376	94478704
NM_020325.3	chr14	ABCD4	-	74285268	74302934
NM_020324.3	chr14	ABCD4	-	74285268	74302934
NM_005050.4	chr14	ABCD4	-	74285268	74302934
NM_005050.3	chr14	ABCD4	-	74285422	74303056
NM_001353610.2	chr14	ABCD4	-	74285268	74302934
NM_001353609.2	chr14	ABCD4	-	74285268	74302934
NM_001353608.2	chr14	ABCD4	-	74285268	74302934
NM_001353607.2	chr14	ABCD4	-	74285268	74302934
NM_001353606.2	chr14	ABCD4	-	74285268	74302934
NM_001353605.2	chr14	ABCD4	-	74285268	74302934
NM_001353604.2	chr14	ABCD4	-	74285268	74302934
NM_001353603.2	chr14	ABCD4	-	74285268	74302934
NM_001353602.2	chr14	ABCD4	-	74285268	74302934
NM_001353601.2	chr14	ABCD4	-	74285268	74302934
NM_001353600.2	chr14	ABCD4	-	74285268	74302934
NM_001353599.2	chr14	ABCD4	-	74285268	74302934
NM_001353598.2	chr14	ABCD4	-	74285268	74302934
NM_001353597.2	chr14	ABCD4	-	74285268	74302934
NM_001353596.2	chr14	ABCD4	-	74285268	74302934
NM_001353595.2	chr14	ABCD4	-	74285268	74302934
NM_001353594.2	chr14	ABCD4	-	74285268	74302934
NM_001353593.2	chr14	ABCD4	-	74285268	74302934
NM_001353592.2	chr14	ABCD4	-	74285268	74302934
NM_001353591.2	chr14	ABCD4	-	74285268	74302934
NM_002940.3	chr4	ABCE1	+	145098310	145129524
NM_002940.2	chr4	ABCE1	+	145097931	145129179
NM_001040876.2	chr4	ABCE1	+	145098310	145129524
NM_001090.3	chr6	ABCF1	+	30571441	30591522
NM_001090.2	chr6	ABCF1	+	30571392	30591313
NM_001025091.2	chr6	ABCF1	+	30571441	30591522
NM_001025091.1	chr6	ABCF1	+	30571375	30591532
NM_007189.3	chr7	ABCF2	-	151211483	151227205
NM_007189.2	chr7	ABCF2	-	151212489	151227230
NM_018358.2	chr3	ABCF3	+	184186074	184194007
NM_001351300.1	chr3	ABCF3	+	184186074	184194007
NM_001351299.1	chr3	ABCF3	+	184186074	184194007
NM_001351298.1	chr3	ABCF3	+	184186074	184194007
NM_207629.1	chr21	ABCG1	+	42216076	42297244
NM_207628.1	chr21	ABCG1	+	42199811	42297244
NM_207627.1	chr21	ABCG1	+	42199688	42297244
NM_207174.1	chr21	ABCG1	+	42219897	42297244
NM_016818.2	chr21	ABCG1	+	42219156	42297244
NM_004915.3	chr21	ABCG1	+	42219156	42297244
NM_004827.3	chr4	ABCG2	-	88090268	88158639
NM_004827.2	chr4	ABCG2	-	88090268	88158912
NM_001348989.1	chr4	ABCG2	-	88090263	88159323
NM_001348988.1	chr4	ABCG2	-	88090263	88158859
NM_001348987.1	chr4	ABCG2	-	88090263	88158859
NM_001348986.1	chr4	ABCG2	-	88090263	88158859
NM_001348985.1	chr4	ABCG2	-	88090263	88231626
NM_001257386.2	chr4	ABCG2	-	88090263	88231626
NM_001257386.1	chr4	ABCG2	-	88090263	88231322
NM_022169.5	chr11	ABCG4	+	119149051	119162653
NM_022169.4	chr11	ABCG4	+	119149011	119162653
NM_001348192.2	chr11	ABCG4	+	119149051	119162653
NM_001348191.2	chr11	ABCG4	+	119149051	119162653
NM_001142505.1	chr11	ABCG4	+	119149588	119162666
NM_022436.3	chr2	ABCG5	-	43812471	43838839
NM_022436.2	chr2	ABCG5	-	43812471	43838819
NM_022437.3	chr2	ABCG8	+	43838970	43882988
NM_022437.2	chr2	ABCG8	+	43838963	43878466
NM_001357321.2	chr2	ABCG8	+	43838970	43882988
NM_001357321.1	chr2	ABCG8	+	43838963	43882987
NM_032604.4	chr2	ABHD1	+	27123814	27130812
NM_032604.3	chr2	ABHD1	+	27123834	27130812
NM_018394.4	chr3	ABHD10	+	111979025	111993368
NM_018394.3	chr3	ABHD10	+	111979034	111993363
NM_001272069.2	chr3	ABHD10	+	111979025	111993368
NM_148913.3	chr7	ABHD11	-	73736093	73738867
NM_148913.2	chr7	ABHD11	-	73736093	73738852
NM_148912.3	chr7	ABHD11	-	73736093	73738867
NM_148912.2	chr7	ABHD11	-	73736093	73738867
NM_001321383.1	chr7	ABHD11	-	73736093	73738867
NM_001321382.1	chr7	ABHD11	-	73736093	73738867
NM_001301058.1	chr7	ABHD11	-	73736093	73738867
NM_001145364.2	chr7	ABHD11	-	73736093	73738867
NM_001145364.1	chr7	ABHD11	-	73736558	73738832
NM_015600.5	chr20	ABHD12	-	25294742	25390835
NM_015600.4	chr20	ABHD12	-	25294742	25390983
NM_001042472.3	chr20	ABHD12	-	25300213	25390835
NM_001042472.2	chr20	ABHD12	-	25300197	25390976
NM_181814.1	chr14	ABHD12B	+	50872159	50904970
NM_181533.3	chr14	ABHD12B	+	50872159	50904970
NM_001206673.2	chr14	ABHD12B	+	50872052	50904970
NM_001206673.1	chr14	ABHD12B	+	50872159	50904970
NM_032859.3	chr13	ABHD13	+	108218391	108234243
NM_032859.2	chr13	ABHD13	+	108218378	108234255
NM_015407.5	chr3	ABHD14A	+	51975063	51981196
NM_015407.4	chr3	ABHD14A	+	51975067	51981196
NM_001316331.2	chr3	ABHD14A-ACY1	+	51975063	51989197
NM_001316331.1	chr3	ABHD14A-ACY1	+	51975049	51989183
NM_032750.2	chr3	ABHD14B	-	51968509	51974630
NM_001254753.1	chr3	ABHD14B	-	51968509	51974630
NM_001146314.1	chr3	ABHD14B	-	51968509	51974630
NM_198147.3	chr17	ABHD15	-	29560546	29567037
NM_198147.2	chr17	ABHD15	-	29560546	29567137
NM_021160.3	chr6	ABHD16A	-	31686954	31703324
NM_021160.2	chr6	ABHD16A	-	31686948	31703444
NM_001177515.2	chr6	ABHD16A	-	31686954	31702958
NM_080622.3	chr20	ABHD16B	+	63861212	63862988
NM_031213.4	chr19	ABHD17A	-	1876809	1885496
NM_001130111.2	chr19	ABHD17A	-	1876809	1885496
NM_001130111.1	chr19	ABHD17A	-	1876809	1885547
NM_016014.3	chr9	ABHD17B	-	71862451	71911245
NM_016014.2	chr9	ABHD17B	-	71862451	71910931
NM_001025780.2	chr9	ABHD17B	-	71865151	71911245
NM_021214.2	chr15	ABHD17C	+	80695309	80755621
NM_021214.1	chr15	ABHD17C	+	80695302	80755621
NM_025097.2	chr4	ABHD18	+	127965405	128031776
NM_001366048.1	chr4	ABHD18	+	127965405	128031776
NM_001366047.1	chr4	ABHD18	+	127965405	128031776
NM_001366046.1	chr4	ABHD18	+	127965405	128031776
NM_001366045.1	chr4	ABHD18	+	127965405	128031776
NM_001366044.1	chr4	ABHD18	+	127965405	128031776
NM_001366043.1	chr4	ABHD18	+	127965405	128031776
NM_001366042.2	chr4	ABHD18	+	127965405	128039927
NM_001366041.2	chr4	ABHD18	+	127965405	128039927
NM_001366040.2	chr4	ABHD18	+	127965405	128039927
NM_001366039.2	chr4	ABHD18	+	127965405	128039927
NM_001366038.2	chr4	ABHD18	+	127965405	128039927
NM_001366037.2	chr4	ABHD18	+	127965405	128039927
NM_001358454.2	chr4	ABHD18	+	127965405	128039927
NM_001358451.2	chr4	ABHD18	+	127965405	128039927
NM_001319307.2	chr4	ABHD18	+	127965405	128039927
NM_001319306.2	chr4	ABHD18	+	127965405	128039927
NM_001319305.2	chr4	ABHD18	+	127965405	128039927
NM_001039717.2	chr4	ABHD18	+	127965405	128031776
NM_152924.5	chr15	ABHD2	+	89088455	89202355
NM_152924.4	chr15	ABHD2	+	89088149	89202360
NM_007011.8	chr15	ABHD2	+	89088455	89202355
NM_007011.7	chr15	ABHD2	+	89088429	89195751
NM_138340.5	chr18	ABHD3	-	21650900	21704774
NM_138340.4	chr18	ABHD3	-	21650896	21704805
NM_001308257.1	chr18	ABHD3	-	21650896	21664214
NM_001308256.2	chr18	ABHD3	-	21650900	21704774
NM_022060.2	chr14	ABHD4	+	22598237	22612359
NM_016006.6	chr3	ABHD5	+	43690937	43722725
NM_016006.4	chr3	ABHD5	+	43690869	43719049
NM_001365650.1	chr3	ABHD5	+	43690869	43722725
NM_001365649.1	chr3	ABHD5	+	43691097	43722725
NM_001355186.2	chr3	ABHD5	+	43690937	43734371
NM_020676.6	chr3	ABHD6	+	58237501	58294736
NM_020676.5	chr3	ABHD6	+	58237531	58294734
NM_001320126.2	chr3	ABHD6	+	58237791	58294734
NM_001320126.1	chr3	ABHD6	+	58237505	58294732
NM_024527.5	chr19	ABHD8	-	17292130	17303425
NM_024527.4	chr19	ABHD8	-	17292130	17303473
NM_005470.3	chr10	ABI1	-	26746595	26861087
NM_001348034.1	chr10	ABI1	-	26746595	26861087
NM_001348033.1	chr10	ABI1	-	26746595	26861087
NM_001348032.1	chr10	ABI1	-	26746595	26861087
NM_001348031.1	chr10	ABI1	-	26746595	26861087
NM_001348030.1	chr10	ABI1	-	26746595	26861087
NM_001348029.1	chr10	ABI1	-	26746595	26861087
NM_001178125.1	chr10	ABI1	-	26746595	26861087
NM_001178124.1	chr10	ABI1	-	26746595	26861087
NM_001178123.1	chr10	ABI1	-	26746595	26861087
NM_001178122.1	chr10	ABI1	-	26746595	26861087
NM_001178121.1	chr10	ABI1	-	26746595	26861087
NM_001178120.1	chr10	ABI1	-	26746595	26861087
NM_001178119.1	chr10	ABI1	-	26746595	26861087
NM_001178116.1	chr10	ABI1	-	26746595	26861087
NM_001012752.2	chr10	ABI1	-	26746595	26861087
NM_001012751.2	chr10	ABI1	-	26746595	26861087
NM_001012750.2	chr10	ABI1	-	26746595	26861087
NM_005759.6	chr2	ABI2	+	203328393	203447728
NM_005759.5	chr2	ABI2	+	203328279	203432173
NM_001282932.1	chr2	ABI2	+	203328238	203432173
NM_001282927.1	chr2	ABI2	+	203366883	203432173
NM_001282926.2	chr2	ABI2	+	203328393	203447728
NM_001282926.1	chr2	ABI2	+	203328394	203427948
NM_001282925.2	chr2	ABI2	+	203328393	203447728
NM_001282925.1	chr2	ABI2	+	203328238	203432172
NM_016428.3	chr17	ABI3	+	49210706	49223225
NM_016428.2	chr17	ABI3	+	49210226	49223225
NM_001135186.1	chr17	ABI3	+	49210226	49223225
NM_015429.3	chr3	ABI3BP	-	100749334	100993490
NM_001365643.1	chr3	ABI3BP	-	100816010	100993490
NM_001365642.1	chr3	ABI3BP	-	100749334	100993490
NM_001349332.1	chr3	ABI3BP	-	100749334	100993490
NM_001349331.1	chr3	ABI3BP	-	100749334	100993490
NM_001349330.1	chr3	ABI3BP	-	100749334	100993490
NM_001349329.1	chr3	ABI3BP	-	100749334	100993490
NM_017832.4	chr9	ABITRAM	+	108934399	108940954
NM_007313.2	chr9	ABL1	+	130713880	130887675
NM_005157.6	chr9	ABL1	+	130835253	130887675
NM_005157.5	chr9	ABL1	+	130835065	130887675
NM_007314.4	chr1	ABL2	-	179099329	179229677
NM_007314.3	chr1	ABL2	-	179099326	179229601
NM_005158.5	chr1	ABL2	-	179099329	179143076
NM_005158.4	chr1	ABL2	-	179107598	179143056
NM_001168239.2	chr1	ABL2	-	179099329	179143076
NM_001168239.1	chr1	ABL2	-	179107717	179143044
NM_001168238.2	chr1	ABL2	-	179099329	179229677
NM_001168238.1	chr1	ABL2	-	179107717	179229397
NM_001168237.2	chr1	ABL2	-	179099329	179229677
NM_001168237.1	chr1	ABL2	-	179107717	179229397
NM_001168236.2	chr1	ABL2	-	179099329	179229677
NM_001168236.1	chr1	ABL2	-	179107717	179229397
NM_001136001.1	chr1	ABL2	-	179110580	179229684
NM_001136000.3	chr1	ABL2	-	179099329	179143076
NM_001136000.2	chr1	ABL2	-	179104047	179143089
NM_006720.4	chr10	ABLIM1	-	114431111	114526913
NM_006720.3	chr10	ABLIM1	-	114431112	114526931
NM_002313.7	chr10	ABLIM1	-	114431111	114658275
NM_002313.5	chr10	ABLIM1	-	114436037	114658298
NM_001352443.2	chr10	ABLIM1	-	114431111	114526913
NM_001352442.2	chr10	ABLIM1	-	114431111	114613736
NM_001352441.1	chr10	ABLIM1	-	114431109	114632397
NM_001352440.1	chr10	ABLIM1	-	114431109	114632397
NM_001322900.2	chr10	ABLIM1	-	114431111	114526913
NM_001322899.2	chr10	ABLIM1	-	114431111	114526913
NM_001322898.2	chr10	ABLIM1	-	114431111	114526913
NM_001322897.2	chr10	ABLIM1	-	114431111	114526913
NM_001322896.2	chr10	ABLIM1	-	114431111	114526913
NM_001322895.2	chr10	ABLIM1	-	114431111	114526913
NM_001322894.2	chr10	ABLIM1	-	114431111	114526913
NM_001322893.2	chr10	ABLIM1	-	114431111	114526913
NM_001322892.2	chr10	ABLIM1	-	114431111	114526913
NM_001322891.2	chr10	ABLIM1	-	114431111	114526913
NM_001322890.2	chr10	ABLIM1	-	114431111	114526913
NM_001322889.2	chr10	ABLIM1	-	114431111	114526913
NM_001322888.2	chr10	ABLIM1	-	114431111	114526913
NM_001322887.2	chr10	ABLIM1	-	114431111	114684443
NM_001322886.3	chr10	ABLIM1	-	114431111	114768304
NM_001322885.3	chr10	ABLIM1	-	114431111	114768304
NM_001322884.3	chr10	ABLIM1	-	114431111	114768304
NM_001322883.2	chr10	ABLIM1	-	114431111	114684443
NM_001322882.2	chr10	ABLIM1	-	114431109	114685003
NM_001322882.1	chr10	ABLIM1	-	114431112	114684655
NM_001003408.1	chr10	ABLIM1	-	114435953	114685003
NM_001003407.2	chr10	ABLIM1	-	114431111	114684443
NM_001003407.1	chr10	ABLIM1	-	114431112	114684457
NM_032432.5	chr4	ABLIM2	-	7965326	8158813
NM_032432.4	chr4	ABLIM2	-	7966358	8158783
NM_001286688.2	chr4	ABLIM2	-	7965326	8071988
NM_001286688.1	chr4	ABLIM2	-	7965328	8071986
NM_001130088.2	chr4	ABLIM2	-	8007028	8158813
NM_001130088.1	chr4	ABLIM2	-	8007024	8158832
NM_001130087.2	chr4	ABLIM2	-	7965326	8158813
NM_001130087.1	chr4	ABLIM2	-	7965311	8158811
NM_001130086.2	chr4	ABLIM2	-	7965326	8158813
NM_001130086.1	chr4	ABLIM2	-	7966989	8158689
